代码,名称,PE_TTM,总市值_亿,营业收入,净利润,营收同比%,净利润同比%,ROE%,报告期,币种
00165,中国光大控股,-4.78,96.06,1089779187.78,-1813415568.06,216.3615053634,-5.1704042757,-6.354516627393,2025-12-31,HKD
00166,新时代集团控股,-0.37,2.88,13482906872.0,-702072906.0,37.3499075292,-789.3592677346,-75.90449685074,2025-12-31,HKD
00167,IDT INT'L,52.67,36.4,102012376.46,62413405.22,-34.8400756929,-39.7134905471,-92.746795517079,2025-12-31,HKD
00168,青岛啤酒股份,12.71,673.09,32473493664.0,4588101137.0,1.0444499577,5.5953551715,15.368120592012,2025-12-31,HKD
00169,万达酒店发展,0.3,5.31,106224994.54,1605443743.74,18.4384378336,400.8113171465,91.912933695545,2025-12-31,HKD
00171,银建国际,-0.12,1.18,127158924.48,-854158896.04,4.1926005965,-24.9673931573,-50.869250305735,2025-12-31,HKD
00173,嘉华国际,-7.69,66.84,1792916086.94,-785133920.42,-72.3819755955,-359.4266869609,-2.168256008765,2025-12-31,HKD
00174,盛洋投资,-0.48,1.4,713281866.2,-265267585.02,-24.6165726892,-209.6830317601,-6.995046988173,2025-12-31,HKD
00175,吉利汽车,11.52,2002.63,345232201000.0,16852231000.0,25.1247129123,0.240026724,18.835937156566,2025-12-31,HKD
00176,先机企业集团,-0.1,2642.34,61291283.48,-216626453.68,-23.7754987039,-155.8645344979,-148.55942526164,2023-12-31,HKD
00177,江苏宁沪高速公路,10.5,564.73,20289199757.75,4593870605.31,-12.5397837041,-7.1324640435,11.479019152527,2025-12-31,HKD
00178,莎莎国际,27.52,26.07,3637522702.32,71032993.59,-9.7491102453,-64.833723953,6.388246151599,2025-03-31,HKD
00179,德昌电机控股,13.97,221.27,25258702309.2,1398597563.8,0.0770916596,-23.0880164991,7.343526307366,2026-03-31,HKD
00180,开达集团,-1.05,1.99,317174735.2,-171244189.46,2.1672277,-1.5473690976,-10.365141442115,2025-12-31,HKD
00181,闽港控股,-9.02,1.36,17285522.68452,-13657662.78082,-20.3589875669,54.3282116427,-4.474087402053,2025-12-31,HKD
00182,协合新能源,23.13,35.78,2544013000.0,139720000.0,-7.5594810276,-82.6463453864,1.621718021748,2025-12-31,HKD
00183,宏辉集团,-1.69,0.83,40511554.85,-60701215.9,8.0378423075,72.4891298957,-4.905106433779,2025-06-30,HKD
00184,激成投资,3.07,7.89,1459985582.06,232558375.94,-4.4680243708,0.6394596644,7.526048665878,2025-12-31,HKD
00185,正商实业,-0.15,1.45,6916870000.0,-856036000.0,-27.5120400709,60.7676207158,-181.771196634826,2025-12-31,HKD
00186,敏捷控股,-21.41,8.35,1339026330.0,922830.0,-34.932735426,-99.2424242424,0.323624595469,2025-03-31,HKD
00187,京城机电股份,-20.73,17.36,1527964195.06,-53630943.59,-7.332098143,-817.2743435804,-5.524402691962,2025-12-31,HKD
00188,新华汇富金融,-23.13,1.83,48648884.7,-33205923.4,148.282602625,35.7291629894,-5.452979805165,2025-06-30,HKD
00189,东岳集团,14.8,269.09,14355381000.0,1641812000.0,1.2290595213,102.4918475982,12.398499262424,2025-12-31,HKD
00191,丽新国际,-0.28,6.18,4550095536.72,-1526109705.31,-18.0503206865,22.7068376021,-11.042512700851,2025-07-31,HKD
