代码,名称,PE_TTM,总市值_亿,营业收入,净利润,报告期,币种
300857,协创数据,61.24012154,1068.964624576,12235545646.04,1164383916.12,2025-12-31,CNY
601689,拓普集团,38.57244087,1066.683479004,29581458675.27,2779071103.34,2025-12-31,CNY
301217,铜冠铜箔,645.96874574,1060.9740932112,6689205991.67,62649871.76,2025-12-31,CNY
002466,天齐锂业,46.77197774,1045.06317581,10346364563.27,462625452.36,2025-12-31,CNY
600010,包钢股份,-779.40733318,1044.7213610988001,66357524000.64,373622495.09,2025-12-31,CNY
300757,罗博特科,-1313.93774932,1039.1702882,949812665.28,-66440373.45,2025-12-31,CNY
000425,徐工机械,15.72796547,1036.4421247364999,100822903512.12,6572221644.27,2025-12-31,CNY
601012,隆基绿能,-14.96131565,1033.6482111296,70347049950.42,-6419556843.85,2025-12-31,CNY
002736,国信证券,9.46899294,1027.2468289180001,24143296632.91,11072761041.48,2025-12-31,CNY
601800,中国交建,7.63454044,1022.04765733,731108751343.0,14751374779.0,2025-12-31,CNY
600875,东方电气,23.92412977,1019.8704601374001,78615277439.83,3831301222.13,2025-12-31,CNY
600893,航发动力,161.74597443,1017.9904394922,46331495671.4,634328156.8,2025-12-31,CNY
600489,中金黄金,15.94237321,1000.4853132096001,79074657048.6,4933582739.46,2025-12-31,CNY
601006,大秦铁路,17.48702965,999.1035067334,77644812382.0,5900148479.0,2025-12-31,CNY
301526,国际复材,203.55670346,997.397243696,8657832967.41,272471070.35,2025-12-31,CNY
600673,东阳光,854.61492827,997.3665465526,14934605535.39,275469968.49,2025-12-31,CNY
002600,领益智造,47.11543234,996.1074800839999,51428944353.94,2287723584.28,2025-12-31,CNY
002709,天赐材料,34.46072214,987.8870211424,16649892556.28,1361917896.52,2025-12-31,CNY
600585,海螺水泥,12.66645365,984.0804889203,82532050796.0,8113068470.0,2025-12-31,CNY
002230,科大讯飞,113.54594551,979.8083671439,27105390547.66,839390861.36,2025-12-31,CNY
605499,东鹏饮料,20.82747765,977.3661214719999,20875273117.52,4415263147.79,2025-12-31,CNY
688111,金山办公,26.75914608,971.0426167676,5928744673.06,1836468727.81,2025-12-31,CNY
688183,生益电子,56.25268443,966.24347688,9493763839.18,1473148860.35,2025-12-31,CNY
300136,信维通信,130.50183671,960.6021438064,8909779803.93,708686269.06,2025-12-31,CNY
000807,云铝股份,10.87907851,944.3248013814999,60042935758.93,6054686552.59,2025-12-31,CNY
000100,TCL科技,18.53748941,938.1188963597,184210915000.0,4516782000.0,2025-12-31,CNY
688271,联影医疗,48.72641082,924.8700941336,13800251663.95,1869300805.65,2025-12-31,CNY
688120,华海清科,84.17006124,923.8609065597999,4648227726.05,1083724706.34,2025-12-31,CNY
600118,中国卫星,5435.30926615,922.6962720405,6102944926.0,35556687.85,2025-12-31,CNY
002156,通富微电,63.04887438,911.9239844208,27921424656.15,1218708143.38,2025-12-31,CNY
600026,中远海能,16.55568964,910.910480031,23892259789.49,4037310920.74,2025-12-31,CNY
600029,南方航空,29.48695745,909.6726373744,182256000000.0,857000000.0,2025-12-31,CNY
002001,新和成,13.46779524,903.893316088,22251361880.58,6764199225.29,2025-12-31,CNY
688172,燕东微,-197.855012,902.6829227331,1833263543.04,-407807520.25,2025-12-31,CNY
000538,云南白药,17.15978459,901.9447458164999,41186999090.31,5153486838.91,2025-12-31,CNY
688506,百利天恒,-69.53083536,901.6338415646001,2520113323.01,-1053617853.77,2025-12-31,CNY
603799,华友钴业,12.25625319,901.5145793241,81018674069.68,6110378757.84,2025-12-31,CNY
000617,中油资本,19.59796693,900.1160304248,33796846677.45,4299941107.39,2025-12-31,CNY
002202,金风科技,28.66687804,892.4865411111,73023477737.27,2774356663.48,2025-12-31,CNY
600795,国电电力,13.18747091,889.9973921917999,170243994133.7,7161419062.53,2025-12-31,CNY
